Compound,Class,Chain.length,RI,Mod.position,Fly_001,Fly_002,Fly_004,Fly_005,Fly_006,Fly_016,Fly_017,Fly_018,Fly_019,Fly_020,Fly_003,Fly_007,Fly_008,Fly_009,Fly_010,Fly_011,Fly_012,Fly_013,Fly_014,Fly_015,Fly_021,Fly_023,Fly_024,Fly_025,Fly_026,Fly_031,Fly_032,Fly_034,Fly_035,Fly_036,Fly_022,Fly_027,Fly_028,Fly_029,Fly_030,Fly_033,Fly_037,Fly_038,Fly_039,Fly_040
C15,Alkane,15,1500,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027405299426593213,0.02267647389614293,0.011854758835730336,0.015266346923355989,0.012381746916395375,0.015600104408503178,0.021805089996650987,0,0.016503799046550898,0.015142923949116111,0.020342583124836236,0,0,0,0.04526060410064186,0,0.026192923501746262,0.027960997429084745,0.030148776353547412,0.03674494978649832
C17:ene,Alkene,17,1677,"NA",0.02320025566163743,0,0.017985955173474125,0.02761266671836275,0.059939839648519906,0,0,0,0,0.02119603669582922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C17,Alkane,17,1700,"NA",0.01918370124970926,0,0.03374326586914996,0.016197099920188945,0.01899103392560847,0,0,0,0,0.023391540526000662,0.01562155838711387,0,0.08230503550553722,0.22884197658345315,0.10350367667748253,0.24392449909105912,0,0.06729928829742056,0.22380352340848256,0.2201959042200417,0.06000904700815602,0.08006218599660331,0.030034378508510387,0.043743385276847756,0.037028552812668515,0.05490514300422563,0.05599924199297498,0.03829309845810082,0.06872767911020487,0.037395636079917964,0.04041316684056492,0.19010485935176863,0.19136423561535518,0.23780040848377856,0.2059862058774605,0.2360928550423624,0.2151944030099101,0.12378507588353482,0.27392074778397085,0.14855595103243613
C19:ene,Alkene,19,1873,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07575631687634944,0.05363881454409806,0.14196799165396995,0,0.6421489151829962,0.2824435378049893,0.12189793780754264,0.35581208129360115,0.4672817165095635,0.15905072361997794
C19:ene,Alkene,19,1873,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041929616200681134,0.033052184300202625,0.14604130072895039,0,1.3947937971681659,0.0960307999747866,0.0311147324260646,0,0.13866250600579963,0.12885828570623772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19:ene,Alkene,19,1873,"NA",0.1098305494971334,0.014521875386370092,0.0681939683848443,0.1311722388411369,0.336573337723504,0,0.06677755815028916,0.06918576339289367,0.19194164752929188,0.29694232468030407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,Alkane,19,1900,"NA",0.18524408413116628,0.09817616352487399,0.8319584254553998,0.328503062492167,0.5043098860230911,0.2911152464739167,0.11081769804011307,0.5776637504699778,0.12252940236896623,0.14434373563199646,0.11650850742055657,0.11801199919891478,8.957731368007142,30.787185623172835,11.736206220866126,21.52376677563793,0.1644874356929843,7.287665027682374,18.074955926930336,17.288821560551877,0.2505352322997399,0.6502914018286046,0.2198150168794025,0.2488523670438203,0.31992064333264547,0.25845294331996543,0.2537982300363899,0.29439900419325316,0.37681301445549403,0.21134548292087765,0.2908559216847883,12.486090533719775,20.562844008610934,26.168630138441035,5.297111210971431,20.53917107010798,9.724896065692008,0.5252215370801013,22.163433151841115,0.4604774829444938
C20,Alkane,20,2000,"NA",0.04757305688415743,0.03223319303494733,0.10908206370794397,0.05737830737515989,0.0940489479077495,0.0468155333143914,0.04376153489246657,0.08564293745603832,0.03225608358431882,0.03158534668344712,0.03662740397694267,0.16968336208826826,0.6923039153296261,1.909664727443578,0.7467494069080329,1.3543031575481126,0.2611296392827584,0.39461190032813176,0.9744511714859988,2.1724859889199717,0.03142155188881442,0.05847414503748385,0.03271979746362087,0.030178838916701176,0.036391816406513816,0.020781343230764655,0.09399124918712119,0.03406551701173824,0.03189088340253443,0.026774114092463892,0.04707933581477696,0.6755560980002671,1.229251251409313,1.6258389407562202,0.29649107514352646,1.20353956236624,0.8971143132066608,0.04170008856270179,1.1986456605090061,0.0531086816656654
C21:diene,Alkadiene,21,2066,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10541963910775028,0.02638920557159554,0,0,0.05863770060511688,0,0.027723110843141382,0.04040464292718419,0.04065194579603845,0.047005382673259447
C21:diene,Alkadiene,21,2066,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02331040818238933,0.03886902576668261,0.01084435605274213,0.013348007652759609,0.014673147175149566,0.014496520882848939,0.02148675128551875,0.011375790089583563,0.02399485490832272,0.01107146527239434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2072,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04919432270599175,0.01854972626023331,0.03943076234400221,0,0.038713081346105495,0,0.03734395030624645,0.02193799757552529,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9816291811285001,0.1792379458830853,0.21593686033573598,0.1266919583326238,0.3773767293267513,0.2025875516592778,0.22891068597395905,0.28731419406362596,0.24320394859081795,0.3811076755126254
C21:ene,Alkene,21,2072,"NA",0.09118687061583157,0.026548805895821665,0.05327798918555776,0.07932035241590557,0.046876028166623236,0.04698320172030017,0.02773574835488911,0.027007882438117067,0.039504550895065695,0.03780276543583606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2072,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24969277895892425,0.2987402674266701,0.20312098038086723,0.22538084769985106,0.16091412826662616,0.10554070396828531,0.12119891257451369,0.14040444485387107,0.20563829944287007,0.19568686956775716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2078,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022848242134863306,0.040606307145965824,0,0,0.027742347880158794,0.10284768176433678,0.021279411200020873,0.037031721669825934,0.03961698009564172,0.04486520140032634
C21:ene,Alkene,21,2078,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11672125859716097,0.017165145047870714,0.0865364301240112,0.05962081394990333,0.03756943074841955,0.024525619521163968,0.2614298239469354,0.04464292207568113,0.03417962028578957,0.04544151572376664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21,Alkane,21,2100,"NA",2.9803803808725693,1.6537959012697514,4.3386591000522685,2.906701436294971,4.989249324769064,1.705760961381288,1.1893734714847495,2.5034085434818545,1.2031916618431107,1.344909137195851,2.062804129313041,12.106362927573757,7.456620572845781,13.705744720987875,7.733579113813441,9.256023123685198,18.648674984582726,3.658069404334536,9.694800572619073,16.142142865712845,1.0457938269515064,2.0023080728900555,2.9851059489178335,1.0391990004563256,1.298576593434792,0.7797420091388567,1.068638231072123,1.1622347860498847,1.6285732299125413,1.1291491420750321,1.536783746422899,6.065464839618002,10.538260624621302,14.042788288158018,4.430820901089421,10.579646973703696,6.905126953738424,1.67666479187586,9.58955769245674,2.1154914520124537
C22:ene,Alkene,22,2172,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.09583352024859045,0,0.2704357922824131,0.03693886374556063,0.13968424383916406,0.18367404666273887,0.04356972143233857,0.21185735904304775,0.04805087266817633
C22:ene,Alkene,22,2172,"NA",0.03992607591805261,0.029089187136741874,0.018758739106425237,0.04790007054381103,0.0175587964961737,0.04162485674020407,0.04914653310989787,0.026281288878791616,0.04271959087112685,0.049091852511487594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05655497800338673,0.06550910952911089,0.07312316852640106,0.07659560901172424,0.04827433637007503,0.027886080325979085,0,0.047247048319905526,0.0392172981137861,0.07434360383596711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22:ene,Alkene,22,2179,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014394435985451634,0.02367784555364247,0.02528340143946619,0.016296835563625642,0.018991576320325276,0,0,0.014108718022257116,0,0.011319830116928333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C22:ene,Alkene,22,2186,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.08233334917980432,0.4586774723628866,0.029801230886486684,0.26158592634730266,0,0.0523789760498852,0.11533481904190875,0.15903429623302592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15632748556797307,0.22302285440413105,0.21892918329684757,0.049967019065009076,0.12039055109197302,0.13903275563831533,0,0.1918076766254548,0
C22,Alkane,22,2200,"NA",0.4644449759522967,0.4083114065572594,0.4254367733458055,0.4168253007375902,0.5051894287950196,0.39803665244980524,0.5126137531005486,0.4373030421261575,0.478756451962652,0.6418894673322476,0.3412958118487201,0.6713851181404725,0.5179959427860324,0.7999100311344653,0.6104349767352572,0.6585563784544829,0.8897894262467032,0.4569829616321348,0.594182488232624,0.9613352813842118,0.3997572260719011,0.24621516119914202,0.565604839891072,0.4226866143845129,0.36382819603420313,0.25279575429481294,0.2936723450747662,0.2876842694646251,0.22304044779820148,0.3514273854823352,0.2895450046648973,0.3261000532875874,0.5014199379687574,0.5999675656246847,0.46815388470839664,0.4950690030440884,0.40447279355854077,0.39984609980757946,0.57672053127752,0.2774627855052625
C23:diene,Alkadiene,23,2263,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32185577406281335,0.5142891759690115,0.3033600129749773,0.3432630491221302,0.28731048452250796,13.227298830827225,0.4255869116676189,0.3462827992710454,0.387677908774252,0.3282383899635208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:diene,Alkadiene,23,2266,"NA",0.4194016836026916,0.29597636429235724,0.16670442185197512,0.547438126498847,0,0.3413962660213409,0.33599901552985556,0.29564108924765004,0.4119547042307964,0.3115394105284888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4438021435856442,0.30049233651602375,0.26668166989836484,0.25068611190903967,0,0.4549034619440816,0.3286723393611596,0,0,0.4949771928465781
C23:diene,Alkadiene,23,2266,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3301193223591717,0.2724043299885935,0.19904862942237508,0.19402877740469343,0,0,0.2036805434660754,0.2260112905082576,0,0.15578116798907535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2270,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9100335778766286,2.8167970914511495,4.360988797676493,3.9480945247665558,2.8316853235329122,2.463251114163691,1.6322068933854745,3.710617991651044,1.8523542847459065,4.973425408054389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2270,"NA",3.088479105966651,2.4286544124069955,1.5241298359004618,2.971757159249692,1.4989065365091343,3.275896623341336,3.8904976644901232,2.7545276310464746,3.397655427334171,3.5670316058328897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2270,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.640372367111901,3.113526043018065,1.651176967962893,1.7095719976494486,0.9978986262863079,0,2.8474476140732685,2.1917934180033605,0.968429118189192,2.0115150480984427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0289602456314455,1.5397836674830658,1.2071151520103705,1.034197449740916,2.9712770802062307,3.243037367574682,1.559865326266741,3.5398256894796263,1.9837250572457448,2.0935606518569627
C23:ene,Alkene,23,2275,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8025923936272252,0.37842506068402265,1.7298001716478513,0.9626441248147244,0.8979145595545993,0.7735046422611553,0.31627227888017084,1.485330490756847,0.2800791187147261,0.9708843994724705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23:ene,Alkene,23,2275,"NA",0.22270294486321005,0.19117444316732593,0.17866593374272938,0.16319716908073603,0.18192131765638225,0.2138763380524857,0.4180263647984258,0.23763632241256158,0.31867755391675556,0.3240020721213808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23,Alkane,23,2300,"NA",18.00783752350045,22.109364768802067,10.983235168464747,16.030073819302125,11.66944220244349,20.432716572909115,26.534071949597404,18.905219528745082,20.950583008771208,33.9866159122211,14.832831251480217,24.73604913077091,11.160928097064168,13.041831964728848,8.687867090335427,6.277990957970565,23.75915807144699,18.90821191008932,9.278471459450815,18.759013898715295,23.549013159707428,14.450006310698468,32.0870943578105,23.148086815826176,23.689055553057155,18.60812275063465,9.996404209344963,20.87423608130876,10.413725482427209,21.73668944628,16.88169115963277,8.07808909695516,7.12511970599211,7.91780436674104,16.071485418202016,13.362523042830823,8.393239917592062,21.710407161882994,9.161946783668974,12.393952023794268
11-MeC23,Methyl,23,2330,11-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011988248678290075,0.02437368875619468,0,0,0.012833547144045998,0.026033875040554693,0.05500806606894607,0.016624512906336195,0.020991839405377122,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24:ene,Alkene,24,2371,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15583599085278288,0.10957781997693154,0.15789613597096663,0.16652072321404315,0.1539533822056322,0.12299341478950805,0.38260510465957986,0.1806690787456845,0.20919918732525225,0.19352511148045543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24:ene,Alkene,24,2371,"NA",0.2399087067428372,0.14626648524637254,0.11313528331497347,0.2557635779812049,0.09381284810950515,0.31922347216282404,0.3920492963403229,0.5380709714387786,0.2271134545817356,0.45225273051557713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24,Alkane,24,2400,"NA",1.1237348994562173,0.8751041109124619,0.6798446070810599,0.863908403757125,0.6424492596761611,1.095822853262136,1.4036472115768934,1.1975038389514505,0.9433881042332993,1.5374309508006359,0.7714740388403393,1.181090161413387,0.46081074649520165,0.48334991036393754,0.6363605075172208,0.38984762086098673,0.8443294651051206,0.6552490655447492,0.3808445939834596,0.9105991993360081,0.7764488384361902,0.60546185655252,0.999028013969198,0.861679961153241,0.750327866854693,0.646358639485107,0.5503934915205925,0.7317342538137257,0.5449272288713072,0.7595781513132888,0.6948198103820511,0.37893974271465447,0.33632498011737,0.31105330589337843,0.6062053442778178,0.48558033675199597,0.4867966484537202,0.845548465510384,0.3611570500478901,0.7353834616491964
C25:ene,Alkene,25,2469,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5653452849663174,2.871250980071523,3.648745184775544,3.628453768757241,3.370994758013529,3.0680249967412494,2.6538581422979437,4.024593925274848,2.177270920853397,4.715540923662074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25:diene,Alkadiene,25,2469,"NA",0,0.701398506592335,0,1.283792860055789,0,1.744291865460021,2.3351419614133073,1.403700535199164,1.500007883843859,1.3312409082317893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25:ene,Alkene,25,2473,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.307149828028947,1.6232399575273089,0.4510003385593705,1.157101018755582,0.46070934808806224,0.6226303208557834,0,0.7529574916043559,0.48810789880653005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25:ene,Alkene,25,2475,"NA",8.434250754523347,3.2384092091944754,3.1471621520926814,4.921322394333927,3.257751112697603,7.155889544731572,7.983759920452617,7.763668531613958,5.325383633517046,6.836053662162253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25:ene,Alkene,25,2475,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1285540067940345,0,0,1.299839037227402,0,1.3549812901007112,0.12770016400925963,2.7170056476288833,0,1.2795380103923746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25:ene,Alkene,25,2480,"NA",0.7971092789371387,0.5963978149039663,0.44405146679775714,0.7704148410396897,0.4151433689523786,0.9268175580074813,1.2431886850528795,0,0.7658557927066222,1.1921201191097768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C25,Alkane,25,2500,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.135976192837724,30.399911385033214,17.573225979201776,12.315975037855454,20.721809027869558,10.827092923441818,25.396118255376855,21.02396141079444,12.607837780266598,21.765001161532517,21.1526372761149,19.32855210376378,23.582745788173902,23.42441284734252,19.27762545927725,20.468145458130767,15.052976900413952,19.86714088552486,16.964382030396287,20.116158163198065,19.936634878183504,11.465391719541424,8.706939921744853,9.803309824965337,16.4478489596641,13.265200838324287,16.28152212698891,20.132580604225016,9.962860735714022,18.317216747118202
C26:ene,Alkene,26,2572,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07020910035925922,0,0.06472131681863223,0.0707955010989729,0,0.09876193135790713,0.08912166311593678,0.11738142810929222,0.484994367361554,0.09962089078583967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C26:ene,Alkene,26,2572,"NA",0.22322628877298653,0.11827528584854681,0,0.18662943492306305,0,0,0.22755738173571466,0,0.12752956668610654,0.10086897882095575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
